acq_date,fires,scan,max_t,month_sin,month_cos,acq_date,year
2000-11-30,150.9,7461.7,26.6,-0.5000000000000004,0.8660254037844384,2000-11-01,2000
2000-12-31,109.29032258064517,5491.9,29.322580645161292,-2.4492935982947064e-16,1.0,2000-12-01,2000
2001-01-31,215.2258064516129,10938.699999999999,30.406451612903226,0.4999999999999999,0.8660254037844387,2001-01-01,2001
2001-02-28,15.178571428571429,636.2,29.071428571428573,0.8660254037844386,0.5000000000000001,2001-02-01,2001
2001-03-31,13.566666666666666,695.5,29.833333333333332,1.0,6.123233995736766e-17,2001-03-01,2001
2001-04-30,63.43333333333333,3118.9,26.933333333333334,0.8660254037844387,-0.4999999999999998,2001-04-01,2001
2001-05-31,77.38709677419355,3776.3,24.483870967741936,0.4999999999999999,-0.8660254037844387,2001-05-01,2001
2001-06-30,44.6,982.7,23.866666666666667,1.2246467991473532e-16,-1.0,2001-06-01,2001
2001-07-31,39.07142857142857,1697.6,22.428571428571427,-0.5000000000000001,-0.8660254037844386,2001-07-04,2001
2001-08-31,180.8709677419355,9003.4,23.129032258064516,-0.8660254037844384,-0.5000000000000004,2001-08-01,2001
2001-09-30,308.5,15107.7,25.133333333333333,-1.0,-1.8369701987210294e-16,2001-09-01,2001
2001-10-31,219.7741935483871,10878.9,27.774193548387096,-0.8660254037844386,0.5000000000000001,2001-10-01,2001
2001-11-30,283.8333333333333,14842.1,27.533333333333335,-0.5000000000000004,0.8660254037844384,2001-11-01,2001
2001-12-31,196.93103448275863,9348.0,30.586206896551722,-2.4492935982947064e-16,1.0,2001-12-01,2001
2002-01-31,102.80645161290323,5032.8,31.387096774193548,0.4999999999999999,0.8660254037844387,2002-01-01,2002
2002-02-28,32.84615384615385,1334.1,31.384615384615383,0.8660254037844386,0.5000000000000001,2002-02-01,2002
2002-03-31,24.272727272727273,889.0,29.90909090909091,1.0,6.123233995736766e-17,2002-03-01,2002
2002-04-30,46.93103448275862,2240.5,27.82758620689655,0.8660254037844387,-0.4999999999999998,2002-04-01,2002
2002-05-31,42.225806451612904,1963.2,24.129032258064516,0.4999999999999999,-0.8660254037844387,2002-05-01,2002
2002-06-30,22.9,1061.0,22.433333333333334,1.2246467991473532e-16,-1.0,2002-06-01,2002
2002-07-31,87.0,4170.9,22.483870967741936,-0.5000000000000001,-0.8660254037844386,2002-07-01,2002
2002-08-31,151.29032258064515,7427.7,22.516129032258064,-0.8660254037844384,-0.5000000000000004,2002-08-01,2002
2002-09-30,247.36666666666667,11890.0,26.3,-1.0,-1.8369701987210294e-16,2002-09-01,2002
2002-10-31,779.2903225806451,39108.7,27.580645161290324,-0.8660254037844386,0.5000000000000001,2002-10-01,2002
2002-11-30,636.4666666666667,31399.6,28.266666666666666,-0.5000000000000004,0.8660254037844384,2002-11-01,2002
2002-12-31,345.3225806451613,17097.1,29.741935483870968,-2.4492935982947064e-16,1.0,2002-12-01,2002
2003-01-31,379.2903225806452,17364.9,30.39032258064516,0.4999999999999999,0.8660254037844387,2003-01-01,2003
2003-02-28,76.25,3075.1,28.785714285714285,0.8660254037844386,0.5000000000000001,2003-02-01,2003
2003-03-31,22.483870967741936,1023.7,27.864516129032257,1.0,6.123233995736766e-17,2003-03-01,2003
2003-04-30,28.9,1242.3,26.226666666666667,0.8660254037844387,-0.4999999999999998,2003-04-01,2003
2003-05-31,48.45161290322581,2185.7,24.135483870967743,0.4999999999999999,-0.8660254037844387,2003-05-01,2003
2003-06-30,29.633333333333333,1178.7,22.37,1.2246467991473532e-16,-1.0,2003-06-01,2003
2003-07-31,32.903225806451616,1506.2,21.187096774193545,-0.5000000000000001,-0.8660254037844386,2003-07-01,2003
2003-08-31,33.41935483870968,1468.5,22.574193548387097,-0.8660254037844384,-0.5000000000000004,2003-08-01,2003
2003-09-30,105.86666666666666,4810.6,27.64333333333333,-1.0,-1.8369701987210294e-16,2003-09-01,2003
2003-10-31,226.2258064516129,10777.8,26.461290322580645,-0.8660254037844386,0.5000000000000001,2003-10-01,2003
2003-11-30,209.53333333333333,9822.2,27.736666666666668,-0.5000000000000004,0.8660254037844384,2003-11-01,2003
2003-12-31,60.25806451612903,2906.7,29.141935483870967,-2.4492935982947064e-16,1.0,2003-12-01,2003
2004-01-31,41.516129032258064,1982.9,31.46451612903226,0.4999999999999999,0.8660254037844387,2004-01-01,2004
2004-02-29,10.555555555555555,406.9,32.044444444444444,0.8660254037844386,0.5000000000000001,2004-02-01,2004
2004-03-31,22.0,1009.5,28.983870967741936,1.0,6.123233995736766e-17,2004-03-01,2004
2004-04-30,45.7,1979.6,27.423333333333336,0.8660254037844387,-0.4999999999999998,2004-04-01,2004
2004-05-31,44.61290322580645,1942.1,24.725806451612904,0.4999999999999999,-0.8660254037844387,2004-05-01,2004
2004-06-30,32.241379310344826,1300.2,23.24827586206897,1.2246467991473532e-16,-1.0,2004-06-01,2004
2004-07-31,43.516129032258064,1935.8,22.95483870967742,-0.5000000000000001,-0.8660254037844386,2004-07-01,2004
2004-08-31,80.06451612903226,3570.7000000000003,23.596774193548388,-0.8660254037844384,-0.5000000000000004,2004-08-01,2004
2004-09-30,269.2,12469.1,25.226666666666667,-1.0,-1.8369701987210294e-16,2004-09-01,2004
2004-10-31,724.9677419354839,36442.5,28.419354838709676,-0.8660254037844386,0.5000000000000001,2004-10-01,2004
2004-11-30,421.6,20310.3,28.186666666666667,-0.5000000000000004,0.8660254037844384,2004-11-01,2004
2004-12-31,195.7741935483871,9882.0,29.348387096774193,-2.4492935982947064e-16,1.0,2004-12-01,2004
