,loss,val_loss
0,166.803955078125,138.71762084960938
1,138.9810333251953,133.85220336914062
2,137.1141815185547,132.6028594970703
3,136.40196228027344,132.9917755126953
4,136.1727752685547,131.66473388671875
5,135.82847595214844,130.20492553710938
6,135.75770568847656,130.52511596679688
7,135.50051879882812,130.74827575683594
8,135.1739044189453,130.83213806152344
9,135.0142822265625,130.53402709960938
10,134.78521728515625,130.10952758789062
11,134.6027374267578,129.2168426513672
12,134.55801391601562,130.24176025390625
13,134.1438446044922,129.52821350097656
14,134.14361572265625,130.5724639892578
15,134.025634765625,129.0246124267578
16,133.67918395996094,130.05641174316406
17,133.4613494873047,130.74098205566406
18,133.03660583496094,129.76246643066406
19,133.32614135742188,129.89735412597656
20,133.00306701660156,127.70759582519531
21,132.95556640625,129.20816040039062
22,132.75782775878906,128.55441284179688
23,132.68060302734375,127.9069595336914
24,132.53866577148438,127.56446838378906
25,132.38763427734375,129.78619384765625
26,132.178955078125,129.6704864501953
27,132.11099243164062,128.55870056152344
28,131.98492431640625,127.44328308105469
29,131.82276916503906,127.30447387695312
30,131.86517333984375,127.7640609741211
31,131.66807556152344,128.4263153076172
32,131.54188537597656,126.63961029052734
33,131.3817138671875,127.97008514404297
34,131.37986755371094,127.4734115600586
35,131.3777618408203,127.73394012451172
36,131.30770874023438,127.86566162109375
37,130.99586486816406,129.07852172851562
38,130.96826171875,126.7164306640625
39,130.841064453125,126.88947296142578
40,130.85739135742188,126.75775146484375
41,130.78282165527344,126.77183532714844
42,130.68470764160156,128.8233642578125
43,130.64260864257812,126.26693725585938
44,130.52017211914062,127.87860870361328
45,130.4534912109375,126.82130432128906
46,130.3921661376953,126.73605346679688
47,130.4183349609375,127.318603515625
48,130.3136444091797,127.08660888671875
49,130.32313537597656,126.78739929199219
50,130.08047485351562,126.34817504882812
51,130.20587158203125,127.45858764648438
52,129.91238403320312,126.60049438476562
53,129.94039916992188,126.1562271118164
54,129.87521362304688,126.75279998779297
55,129.859619140625,126.78425598144531
56,129.9352569580078,125.88927459716797
57,129.66172790527344,127.48331451416016
58,130.03199768066406,125.86695098876953
59,129.27047729492188,128.66091918945312
60,129.47500610351562,125.6837158203125
61,129.55279541015625,126.25249481201172
62,129.46058654785156,126.21269226074219
63,129.404052734375,129.00958251953125
64,129.41424560546875,127.22709655761719
65,129.20425415039062,126.77586364746094
66,129.17526245117188,126.18183898925781
67,129.0626678466797,127.46790313720703
68,128.9918670654297,125.22067260742188
69,129.15545654296875,125.83020782470703
70,129.18743896484375,126.46333312988281
71,128.87484741210938,126.19329833984375
72,128.9587860107422,125.24738311767578
73,128.83412170410156,125.26235961914062
74,128.7467041015625,125.2535629272461
75,128.87789916992188,126.50860595703125
76,128.73431396484375,126.95576477050781
77,128.8011016845703,125.74525451660156
78,128.2913055419922,126.8227310180664
79,128.52723693847656,128.57469177246094
80,128.69480895996094,127.05885314941406
81,128.45323181152344,126.91497039794922
82,128.2986297607422,126.57183837890625
83,128.1401824951172,125.42005920410156
84,128.21412658691406,125.23616790771484
85,128.03387451171875,124.9219970703125
86,128.16395568847656,126.39175415039062
87,128.0194854736328,125.34113311767578
88,127.99442291259766,127.0109634399414
89,127.75176239013672,126.10182189941406
90,127.77000427246094,125.92752075195312
91,127.77064514160156,125.37175750732422
92,127.84916687011719,126.88883972167969
93,127.55973052978516,125.12811279296875
94,127.51316833496094,126.66676330566406
95,127.7293701171875,126.10733032226562
96,127.30412292480469,124.75415802001953
97,127.46918487548828,125.45890808105469
98,127.5300521850586,125.9551010131836
99,127.17222595214844,126.46847534179688
100,127.48931121826172,124.99754333496094
101,127.39620208740234,125.33537292480469
102,127.21720886230469,124.86935424804688
103,126.96407318115234,124.3779296875
104,127.06098175048828,125.11288452148438
